"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"70","8776040801","Spotted Sucker",NA,NA,NA,NA,NA,3.5,NA,0,-1,-6,-2
"71","8777020102","Blue Catfish",NA,NA,NA,NA,NA,63,NA,0,-1,-5,-4
"72","8777020105","Channel Catfish",NA,NA,183.333333333333,89,NA,867.5,3.75666666666667,0,-3,-9,-6
"73","8777020602","White Catfish",NA,NA,213,76,NA,993,3.65,0,-1,-4,-2
"74","8777020604","Yellow Bullhead",NA,NA,2,NA,NA,3,NA,0,-2,-7,-4
"75","8777020605","Brown Bullhead",NA,NA,NA,1,NA,NA,3.40875,0,-6,-12,-7
"76","8777020607","Spotted Bullhead",NA,NA,NA,NA,NA,1,NA,0,-1,-2,-3
"77","8777120101","Walking Catfish",NA,NA,1,1,NA,NA,3.2925,0,-1,-2,-3
"78","8777180101","Gafftopsail Catfish",79,1,2415.83333333333,1939.5,261.5,8157,3.395,0,-1,-2,-1
"79","8777180202","Hardhead Catfish",204,196,26654.3101851852,30391.8333333333,1213.66666666667,45342,3.335,0,-1,-2,-2
"80","8777300301","Brown Hoplo",NA,NA,24,1,NA,1,2.944,0,0,-1,-2
"81","8777302001","Vermiculated Catfish",NA,NA,1,4,NA,NA,NA,0,0,-2,-2
"82","8781010101","Pirate Perch",NA,NA,NA,NA,NA,2,NA,0,-1,-6,-2
"83","8783010108","Atlantic Midshipman",NA,NA,NA,NA,NA,568,4.47,0,-1,-2,-1
"84","8783010202","Gulf Toadfish",3390.16666666667,607.333333333333,3695,3763,428.333333333333,4242.33333333333,NA,0,-1,-1,-2
"85","8784010102","Skilletfish",6,NA,280,314.5,5,135.5,NA,0,-2,-3,-3
"86","8787020101","Sargassumfish",1,NA,NA,NA,NA,NA,NA,0,-3,-7,-14
"87","8787020203","Singlespot Frogfish",NA,NA,NA,NA,NA,8,NA,0,-1,-2,-2
