"","NODCCODE","Commonname",">30","26-27","27-28","28-29","29-30","Family","Class","NODCCODE.1","Troph","Polar","Boreal","Temperate","Subtropical"
"146","8835160501","Redbreast Sunfish",1836,NA,13,116,2307,"Centrarchidae","Actinopterygii","8835160501",3.23,0,-1,-4,-2
"147","8835160504","Bluegill",6375,37,2059,1168,21566,"Centrarchidae","Actinopterygii","8835160504",3.39857142857143,0,-2,-8,-10
"148","8835160507","Dollar Sunfish",9,NA,1,15,1,"Centrarchidae","Actinopterygii","8835160507",NA,0,-1,-1,-1
"149","8835160509","Redear Sunfish",2254,12,221,466,5334,"Centrarchidae","Actinopterygii","8835160509",NA,0,-1,-5,-4
"150","8835160510","Spotted Sunfish",79,7,15,45,194,"Centrarchidae","Actinopterygii","8835160510",NA,0,-1,-2,-2
"151","8835160602","Largemouth Bass",2159,6,130,189,5773,"Centrarchidae","Actinopterygii","8835160602",3.80733333333333,0,-3,-9,-12
"152","8835160702","Black Crappie",149,2,165,NA,793,"Centrarchidae","Actinopterygii","8835160702",3.76666666666667,0,-3,-6,-4
"153","8835161001","Warmouth",44,2,35,54,111,"Centrarchidae","Actinopterygii","8835161001",NA,0,-1,-7,-4
"154","8835180201","Bronze Cardinalfish",NA,1,NA,NA,NA,"Apogonidae","Actinopterygii","8835180201",NA,0,-1,-1,-2
"155","8835200101","Swamp Darter",5,NA,40,18,1,"Percidae","Actinopterygii","8835200101",NA,0,-1,-2,-1
"156","8835200319","Blackbanded Darter",NA,NA,NA,NA,4,"Percidae","Actinopterygii","8835200319",NA,0,-1,-2,-2
"157","8835250101","Bluefish",997,NA,222,100,1,"Pomatomidae","Actinopterygii","8835250101",4.45294117647059,0,-2,-9,-12
"158","8835260101","Cobia",28,NA,1,NA,NA,"Rachycentridae","Actinopterygii","8835260101",4.28,0,-2,-6,-15
"159","8835270103","Remora",NA,NA,1,NA,NA,"Echeneidae","Actinopterygii","8835270103",3.47,0,-2,-16,-13
"160","8835270201","Sharksucker",1,1,7,8,NA,"Echeneidae","Actinopterygii","8835270201",3.745,0,-2,-8,-16
"161","8835270202","Whitefin Sharksucker",NA,NA,5,4,NA,"Echeneidae","Actinopterygii","8835270202",NA,0,-1,-2,-2
"162","8835280303","Crevalle Jack",1478,85,6819,2169,4,"Carangidae","Actinopterygii","8835280303",3.70666666666667,0,-1,-5,-4
"163","8835280304","Horse-eye Jack",67,77,886,59,NA,"Carangidae","Actinopterygii","8835280304",3.845,0,-1,-2,-2
"164","8835280306","Blue Runner",16,99,227,NA,NA,"Carangidae","Actinopterygii","8835280306",4.15,0,-1,-4,-5
"165","8835280401","Atlantic Bumper",9687,6,592,388,NA,"Carangidae","Actinopterygii","8835280401",3.855,0,-1,-2,-3
"166","8835280501","Leatherjacket",931,74,2816,5357,3,"Carangidae","Actinopterygii","8835280501",3.61333333333333,0,-2,-5,-2
"167","8835280601","Bigeye Scad",NA,NA,6,NA,NA,"Carangidae","Actinopterygii","8835280601",3.91333333333333,0,-2,-5,-14
"168","8835280701","Lookdown",1085,363,16861,147,4,"Carangidae","Actinopterygii","8835280701",4.29,0,-1,-3,-2
"169","8835280705","Atlantic Moonfish",188,NA,16,NA,NA,"Carangidae","Actinopterygii","8835280705",NA,0,-1,-5,-2
"170","8835280802","Lesser Amberjack",NA,NA,1,NA,NA,"Carangidae","Actinopterygii","8835280802",NA,0,-1,-2,-4
"171","8835280803","Almaco Jack",NA,NA,NA,1,NA,"Carangidae","Actinopterygii","8835280803",4.38,0,-2,-9,-14
