"","NODCCODE","Commonname","183m seine","21.3m seine","273m nylon trammel net","366m monofilament trammel net","547m nylon trammel net","6.1m otter trawl","61m seine","9.1m seine","Hook and line","No Set","Offshore Purse Seine","Scientificname","Genus","Subfamily","Family","Order","Class"
"31","6179110105","Red-algae Shrimp",NA,6,NA,NA,NA,18,NA,NA,NA,NA,NA,"Leander paulensis",NA,NA,NA,NA,NA
"32","6179110200","Prawns",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Macrobrachium spp.",NA,NA,NA,NA,NA
"33","6179110201","Ohio Shrimp",NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,"Macrobrachium ohione",NA,NA,NA,NA,NA
"34","6179110300","Grass Shrimp",NA,736,NA,NA,NA,260,NA,469,NA,NA,NA,"Palaemonetes spp.",NA,NA,NA,NA,NA
"35","6179110301","Brackish Grass Shrimp",NA,16583,NA,NA,NA,10976,NA,259,NA,NA,NA,"Palaemonetes intermedius",NA,NA,NA,NA,NA
"36","6179110302","Eastern Grass Shrimp",NA,8,NA,NA,NA,11,NA,NA,NA,NA,NA,"Palaemonetes paludosus",NA,NA,NA,NA,NA
"37","6179110303","Daggerblade Grass Shrimp",NA,54674,NA,NA,NA,427,NA,12211,NA,NA,NA,"Palaemonetes pugio",NA,NA,NA,NA,NA
"38","6179110304","Marsh Grass Shrimp",NA,13,NA,NA,NA,16,NA,NA,NA,NA,NA,"Palaemonetes vulgaris",NA,NA,NA,NA,NA
"39","6179110401","American Grass Shrimp",NA,135,NA,NA,NA,125,NA,NA,NA,NA,NA,"Periclimenes americanus",NA,NA,NA,NA,NA
"40","6179110403","Longtail Grass Shrimp",NA,375,NA,NA,NA,241,NA,NA,NA,NA,NA,"Periclimenes longicaudatus",NA,NA,NA,NA,NA
"41","6179110803","Florida Grass Shrimp",NA,86,NA,NA,NA,820,NA,NA,NA,NA,NA,"Palaemon floridanus",NA,NA,NA,NA,NA
"42","6179111301","Twoclaw Shrimp",NA,1,NA,NA,NA,11,NA,NA,NA,NA,NA,"Brachycarpus biunguiculatus",NA,NA,NA,NA,NA
"43","6179140000","Snapping Shrimp",NA,173,NA,NA,NA,334,NA,3,NA,NA,NA,"Alpheidae spp.",NA,NA,NA,NA,NA
"44","6179150101","Estuarine Longeye Shrimp",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Ogyrides alphaerostris",NA,NA,NA,NA,NA
"45","6179160100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","6179160104","Zostera Shrimp",NA,423,NA,NA,NA,26,NA,NA,NA,NA,NA,"Hippolyte zostericola",NA,NA,NA,NA,NA
"47","6179160602","Sargassum Shrimp",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latreutes parvulus",NA,NA,NA,NA,NA
"48","6179161101","Peppermint Shrimp",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"Lysmata wurdemanni",NA,NA,NA,NA,NA
"49","6179161109","Scarlet Cleaner Shrimp",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,"Lysmata amboinensis",NA,NA,NA,NA,NA
"50","6179161200","Arrow Shrimp",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Tozeuma spp.",NA,NA,NA,NA,NA
"51","6179161201","Arrow Shrimp",NA,1542,NA,NA,NA,963,NA,NA,NA,NA,NA,"Tozeuma carolinense",NA,NA,NA,NA,NA
"52","6179161402","Manning Grass Shrimp",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thor manningi",NA,NA,NA,NA,NA
"53","6179161404","Squat Grass Shrimp",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"Thor dobkini",NA,NA,NA,NA,NA
