"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Scientificname","Genus","Subfamily","Family","Order","Class"
"305","8835160500","Sunfishes",30,NA,155,22,3,119,"Lepomis spp.",NA,NA,NA,NA,NA
"306","8835160501","Redbreast Sunfish",NA,NA,NA,NA,NA,123,"Lepomis auritus","Lepomis",NA,"Centrarchidae","Perciformes","Actinopterygii"
"307","8835160504","Bluegill",50,NA,855,393,26,116,"Lepomis macrochirus","Lepomis",NA,"Centrarchidae","Perciformes","Actinopterygii"
"308","8835160507","Dollar Sunfish",1,NA,NA,27,1,2,"Lepomis marginatus","Lepomis",NA,"Centrarchidae","Perciformes","Actinopterygii"
"309","8835160509","Redear Sunfish",87,NA,92,92,2,129,"Lepomis microlophus","Lepomis",NA,"Centrarchidae","Perciformes","Actinopterygii"
"310","8835160510","Spotted Sunfish",29,NA,1,8,63,434,"Lepomis punctatus","Lepomis",NA,"Centrarchidae","Perciformes","Actinopterygii"
"311","8835160602","Largemouth Bass",28,NA,19,41,6,901,"Micropterus salmoides","Micropterus",NA,"Centrarchidae","Perciformes","Actinopterygii"
"312","8835160702","Black Crappie",NA,NA,1,3,NA,37,"Pomoxis nigromaculatus","Pomoxis",NA,"Centrarchidae","Perciformes","Actinopterygii"
"313","8835161001","Warmouth",NA,NA,12,2,NA,NA,"Lepomis gulosus","Lepomis",NA,"Centrarchidae","Perciformes","Actinopterygii"
"314","8835170101","Bigeye",NA,NA,NA,NA,NA,1,"Priacanthus arenatus","Priacanthus",NA,"Priacanthidae","Perciformes","Actinopterygii"
"315","8835180201","Bronze Cardinalfish",NA,NA,NA,NA,1,6,"Astrapogon alutus","Astrapogon","Apogoninae","Apogonidae","Perciformes","Actinopterygii"
"316","8835180503","Dusky Cardinalfish",NA,NA,NA,NA,NA,1,"Phaeoptyx pigmentaria","Phaeoptyx","Apogoninae","Apogonidae","Perciformes","Actinopterygii"
"317","8835200000",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"318","8835200100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"319","8835200101","Swamp Darter",2,NA,3,15,1,5,"Etheostoma fusiforme","Etheostoma","Etheostomatinae","Percidae","Perciformes","Actinopterygii"
